,REF_DATE,GEO,Before-tax household income quintile,"Household expenditures, summary-level categories",COORDINATE,Expense,Family type,Age of older adult,Family income,Income
472,2010,Province 5,Third quintile,Household equipment,C473,1051.0,Couple families,35 to 44 years,"$75,000 and over",22510.0
476,2010,Province 5,Fourth quintile,Total expenditure,C477,72113.0,Couple families,45 to 54 years,All income groups,51690.0
482,2010,Province 5,Fourth quintile,Owned living quarters,C483,7837.0,Couple families,45 to 54 years,"$30,000 and over",48210.0
484,2010,Province 5,Fourth quintile,Other accommodation,C485,1560.0,Couple families,45 to 54 years,"$40,000 and over",45650.0
487,2010,Province 5,Fourth quintile,Household furnishings and equipment,C488,2233.0,Couple families,45 to 54 years,"$60,000 and over",38700.0
488,2010,Province 5,Fourth quintile,Household furnishings,C489,832.0,Couple families,45 to 54 years,"$70,000 and over",34640.0
491,2010,Province 5,Fourth quintile,Clothing and accessories,C492,3641.0,Couple families,45 to 54 years,"$90,000 and over",26290.0
498,2010,Province 5,Highest quintile,Rented living quarters,C499,636.0,Couple families,55 to 64 years,"$25,000 and over",46870.0
500,2010,Province 5,Highest quintile,"Water, fuel and electricity for principal accommodation",C501,3588.0,Couple families,55 to 64 years,"$35,000 and over",43910.0
502,2010,Province 5,Highest quintile,Household operations,C503,5967.0,Couple families,55 to 64 years,"$45,000 and over",39810.0
504,2010,Province 5,Highest quintile,Household furnishings and equipment,C505,3489.0,Couple families,55 to 64 years,"$60,000 and over",32930.0
507,2010,Province 5,Highest quintile,Household appliances,C508,695.0,Couple families,55 to 64 years,"$80,000 and over",24110.0
510,2010,Province 6,All quintiles,Total expenditure,C511,60942.0,Couple families,Total all ages,All income groups,88980.0
512,2010,Province 6,All quintiles,Food purchased from restaurants,C513,1789.0,Couple families,Total all ages,"$10,000 and over",87460.0
514,2010,Province 6,All quintiles,Principal accommodation,C515,10088.0,Couple families,Total all ages,"$20,000 and over",85540.0
515,2010,Province 6,All quintiles,Rented living quarters,C516,1499.0,Couple families,Total all ages,"$25,000 and over",84020.0
518,2010,Province 6,All quintiles,Other accommodation,C519,763.0,Couple families,Total all ages,"$40,000 and over",75920.0
520,2010,Province 6,All quintiles,Communications,C521,1501.0,Couple families,Total all ages,"$50,000 and over",69670.0
521,2010,Province 6,All quintiles,Household furnishings and equipment,C522,1493.0,Couple families,Total all ages,"$60,000 and over",62680.0
522,2010,Province 6,All quintiles,Household furnishings,C523,638.0,Couple families,Total all ages,"$70,000 and over",55470.0
527,2010,Province 6,Lowest quintile,Total expenditure,C528,24768.0,Couple families,0 to 24 years,All income groups,1540.0
528,2010,Province 6,Lowest quintile,Food purchased from stores,C529,3336.0,Couple families,0 to 24 years,"Under $10,000",140.0
529,2010,Province 6,Lowest quintile,Food purchased from restaurants,C530,672.0,Couple families,0 to 24 years,"$10,000 and over",1400.0
530,2010,Province 6,Lowest quintile,Shelter,C531,6149.0,Couple families,0 to 24 years,"$15,000 and over",1320.0
531,2010,Province 6,Lowest quintile,Principal accommodation,C532,5811.0,Couple families,0 to 24 years,"$20,000 and over",1200.0
532,2010,Province 6,Lowest quintile,Rented living quarters,C533,2677.0,Couple families,0 to 24 years,"$25,000 and over",1070.0
533,2010,Province 6,Lowest quintile,Owned living quarters,C534,1420.0,Couple families,0 to 24 years,"$30,000 and over",900.0
535,2010,Province 6,Lowest quintile,Other accommodation,C536,338.0,Couple families,0 to 24 years,"$40,000 and over",610.0
539,2010,Province 6,Lowest quintile,Household furnishings,C540,300.0,Couple families,0 to 24 years,"$70,000 and over",160.0
540,2010,Province 6,Lowest quintile,Household equipment,C541,319.0,Couple families,0 to 24 years,"$75,000 and over",130.0
543,2010,Province 6,Lowest quintile,Transportation,C544,4787.0,Couple families,0 to 24 years,Median total income,34110.0
544,2010,Province 6,Second quintile,Total expenditure,C545,37289.0,Couple families,25 to 34 years,All income groups,12010.0
548,2010,Province 6,Second quintile,Principal accommodation,C549,7668.0,Couple families,25 to 34 years,"$20,000 and over",11310.0
553,2010,Province 6,Second quintile,Household operations,C554,2621.0,Couple families,25 to 34 years,"$45,000 and over",9250.0
554,2010,Province 6,Second quintile,Communications,C555,1262.0,Couple families,25 to 34 years,"$50,000 and over",8720.0
556,2010,Province 6,Second quintile,Household furnishings,C557,421.0,Couple families,25 to 34 years,"$70,000 and over",6330.0
557,2010,Province 6,Second quintile,Household equipment,C558,588.0,Couple families,25 to 34 years,"$75,000 and over",5700.0
559,2010,Province 6,Second quintile,Clothing and accessories,C560,1728.0,Couple families,25 to 34 years,"$90,000 and over",3980.0
560,2010,Province 6,Second quintile,Transportation,C561,8024.0,Couple families,25 to 34 years,Median total income,72480.0
562,2010,Province 6,Third quintile,Food purchased from stores,C563,5524.0,Couple families,35 to 44 years,"Under $10,000",380.0
565,2010,Province 6,Third quintile,Principal accommodation,C566,9394.0,Couple families,35 to 44 years,"$20,000 and over",17510.0
566,2010,Province 6,Third quintile,Rented living quarters,C567,1427.0,Couple families,35 to 44 years,"$25,000 and over",17260.0
567,2010,Province 6,Third quintile,Owned living quarters,C568,5121.0,Couple families,35 to 44 years,"$30,000 and over",16970.0
568,2010,Province 6,Third quintile,"Water, fuel and electricity for principal accommodation",C569,2845.0,Couple families,35 to 44 years,"$35,000 and over",16630.0
569,2010,Province 6,Third quintile,Other accommodation,C570,561.0,Couple families,35 to 44 years,"$40,000 and over",16240.0
575,2010,Province 6,Third quintile,Household appliances,C576,318.0,Couple families,35 to 44 years,"$80,000 and over",11600.0
576,2010,Province 6,Third quintile,Clothing and accessories,C577,2798.0,Couple families,35 to 44 years,"$90,000 and over",10020.0
577,2010,Province 6,Third quintile,Transportation,C578,10571.0,Couple families,35 to 44 years,Median total income,95410.0
580,2010,Province 6,Fourth quintile,Food purchased from restaurants,C581,2151.0,Couple families,45 to 54 years,"$10,000 and over",21670.0
585,2010,Province 6,Fourth quintile,"Water, fuel and electricity for principal accommodation",C586,3082.0,Couple families,45 to 54 years,"$35,000 and over",20320.0
586,2010,Province 6,Fourth quintile,Other accommodation,C587,789.0,Couple families,45 to 54 years,"$40,000 and over",19920.0
588,2010,Province 6,Fourth quintile,Communications,C589,1805.0,Couple families,45 to 54 years,"$50,000 and over",18990.0
590,2010,Province 6,Fourth quintile,Household furnishings,C591,737.0,Couple families,45 to 54 years,"$70,000 and over",16590.0
591,2010,Province 6,Fourth quintile,Household equipment,C592,962.0,Couple families,45 to 54 years,"$75,000 and over",15880.0
594,2010,Province 6,Fourth quintile,Transportation,C595,13179.0,Couple families,45 to 54 years,Median total income,105100.0
595,2010,Province 6,Highest quintile,Total expenditure,C596,116873.0,Couple families,55 to 64 years,All income groups,18360.0
596,2010,Province 6,Highest quintile,Food purchased from stores,C597,7583.0,Couple families,55 to 64 years,"Under $10,000",250.0
599,2010,Province 6,Highest quintile,Principal accommodation,C600,15686.0,Couple families,55 to 64 years,"$20,000 and over",17660.0
600,2010,Province 6,Highest quintile,Rented living quarters,C601,,Couple families,55 to 64 years,"$25,000 and over",17350.0
602,2010,Province 6,Highest quintile,"Water, fuel and electricity for principal accommodation",C603,3701.0,Couple families,55 to 64 years,"$35,000 and over",16640.0
605,2010,Province 6,Highest quintile,Communications,C606,1925.0,Couple families,55 to 64 years,"$50,000 and over",15010.0
608,2010,Province 6,Highest quintile,Household equipment,C609,1476.0,Couple families,55 to 64 years,"$75,000 and over",11520.0
609,2010,Province 6,Highest quintile,Household appliances,C610,673.0,Couple families,55 to 64 years,"$80,000 and over",10790.0
610,2010,Province 6,Highest quintile,Clothing and accessories,C611,5765.0,Couple families,55 to 64 years,"$90,000 and over",9420.0
611,2010,Province 6,Highest quintile,Transportation,C612,17238.0,Couple families,55 to 64 years,Median total income,91630.0
612,2010,Province 7,All quintiles,Total expenditure,C613,62257.0,Couple families,Total all ages,All income groups,186650.0
613,2010,Province 7,All quintiles,Food purchased from stores,C614,5565.0,Couple families,Total all ages,"Under $10,000",1960.0
614,2010,Province 7,All quintiles,Food purchased from restaurants,C615,1844.0,Couple families,Total all ages,"$10,000 and over",184690.0
619,2010,Province 7,All quintiles,"Water, fuel and electricity for principal accommodation",C620,1626.0,Couple families,Total all ages,"$35,000 and over",156710.0
620,2010,Province 7,All quintiles,Other accommodation,C621,866.0,Couple families,Total all ages,"$40,000 and over",147950.0
621,2010,Province 7,All quintiles,Household operations,C622,3291.0,Couple families,Total all ages,"$45,000 and over",138720.0
624,2010,Province 7,All quintiles,Household furnishings,C625,715.0,Couple families,Total all ages,"$70,000 and over",91470.0
625,2010,Province 7,All quintiles,Household equipment,C626,836.0,Couple families,Total all ages,"$75,000 and over",82960.0
626,2010,Province 7,All quintiles,Household appliances,C627,376.0,Couple families,Total all ages,"$80,000 and over",75170.0
628,2010,Province 7,All quintiles,Transportation,C629,9987.0,Couple families,Total all ages,Median total income,68950.0
629,2010,Province 7,Lowest quintile,Total expenditure,C630,24274.0,Couple families,0 to 24 years,All income groups,3370.0
631,2010,Province 7,Lowest quintile,Food purchased from restaurants,C632,598.0,Couple families,0 to 24 years,"$10,000 and over",3200.0
633,2010,Province 7,Lowest quintile,Principal accommodation,C634,7867.0,Couple families,0 to 24 years,"$20,000 and over",2710.0
638,2010,Province 7,Lowest quintile,Household operations,C639,1664.0,Couple families,0 to 24 years,"$45,000 and over",1160.0
639,2010,Province 7,Lowest quintile,Communications,C640,908.0,Couple families,0 to 24 years,"$50,000 and over",920.0
640,2010,Province 7,Lowest quintile,Household furnishings and equipment,C641,626.0,Couple families,0 to 24 years,"$60,000 and over",580.0
641,2010,Province 7,Lowest quintile,Household furnishings,C642,307.0,Couple families,0 to 24 years,"$70,000 and over",340.0
642,2010,Province 7,Lowest quintile,Household equipment,C643,285.0,Couple families,0 to 24 years,"$75,000 and over",270.0
643,2010,Province 7,Lowest quintile,Household appliances,C644,118.0,Couple families,0 to 24 years,"$80,000 and over",210.0
650,2010,Province 7,Second quintile,Principal accommodation,C651,9004.0,Couple families,25 to 34 years,"$20,000 and over",21120.0
652,2010,Province 7,Second quintile,Owned living quarters,C653,3766.0,Couple families,25 to 34 years,"$30,000 and over",19950.0
653,2010,Province 7,Second quintile,"Water, fuel and electricity for principal accommodation",C654,1393.0,Couple families,25 to 34 years,"$35,000 and over",19140.0
655,2010,Province 7,Second quintile,Household operations,C656,2394.0,Couple families,25 to 34 years,"$45,000 and over",16970.0
656,2010,Province 7,Second quintile,Communications,C657,1152.0,Couple families,25 to 34 years,"$50,000 and over",15680.0
657,2010,Province 7,Second quintile,Household furnishings and equipment,C658,1095.0,Couple families,25 to 34 years,"$60,000 and over",13030.0
659,2010,Province 7,Second quintile,Household equipment,C660,566.0,Couple families,25 to 34 years,"$75,000 and over",9110.0
660,2010,Province 7,Second quintile,Household appliances,C661,352.0,Couple families,25 to 34 years,"$80,000 and over",7960.0
661,2010,Province 7,Second quintile,Clothing and accessories,C662,2107.0,Couple families,25 to 34 years,"$90,000 and over",5960.0
662,2010,Province 7,Second quintile,Transportation,C663,7262.0,Couple families,25 to 34 years,Median total income,67110.0
664,2010,Province 7,Third quintile,Food purchased from stores,C665,5321.0,Couple families,35 to 44 years,"Under $10,000",450.0
665,2010,Province 7,Third quintile,Food purchased from restaurants,C666,1628.0,Couple families,35 to 44 years,"$10,000 and over",33150.0
669,2010,Province 7,Third quintile,Owned living quarters,C670,4956.0,Couple families,35 to 44 years,"$30,000 and over",31390.0
671,2010,Province 7,Third quintile,Other accommodation,C672,688.0,Couple families,35 to 44 years,"$40,000 and over",29570.0
675,2010,Province 7,Third quintile,Household furnishings,C676,655.0,Couple families,35 to 44 years,"$70,000 and over",20550.0
676,2010,Province 7,Third quintile,Household equipment,C677,864.0,Couple families,35 to 44 years,"$75,000 and over",18830.0
680,2010,Province 7,Fourth quintile,Total expenditure,C681,71891.0,Couple families,45 to 54 years,All income groups,43370.0
681,2010,Province 7,Fourth quintile,Food purchased from stores,C682,6757.0,Couple families,45 to 54 years,"Under $10,000",490.0
686,2010,Province 7,Fourth quintile,Owned living quarters,C687,8569.0,Couple families,45 to 54 years,"$30,000 and over",40420.0
687,2010,Province 7,Fourth quintile,"Water, fuel and electricity for principal accommodation",C688,1891.0,Couple families,45 to 54 years,"$35,000 and over",39410.0
688,2010,Province 7,Fourth quintile,Other accommodation,C689,639.0,Couple families,45 to 54 years,"$40,000 and over",38240.0
690,2010,Province 7,Fourth quintile,Communications,C691,1483.0,Couple families,45 to 54 years,"$50,000 and over",35300.0
693,2010,Province 7,Fourth quintile,Household equipment,C694,929.0,Couple families,45 to 54 years,"$75,000 and over",25760.0
697,2010,Province 7,Highest quintile,Total expenditure,C698,124971.0,Couple families,55 to 64 years,All income groups,42900.0
699,2010,Province 7,Highest quintile,Food purchased from restaurants,C700,3640.0,Couple families,55 to 64 years,"$10,000 and over",42460.0
